iter	Logloss
0	0.6924716656
1	0.691054711
2	0.6898105328
3	0.6891011165
4	0.6881351764
5	0.6871556209
6	0.6864240206
7	0.685948768
8	0.6852068974
9	0.6845335153
10	0.6837353633
11	0.6830330482
12	0.6822196374
13	0.6812086839
14	0.6804432209
15	0.6793484028
16	0.6784974318
17	0.6777036227
18	0.6770368723
19	0.6762046227
20	0.6754136306
21	0.6744368333
22	0.673808582
23	0.6732310368
24	0.6724696233
25	0.6715058547
26	0.6702996474
27	0.6694385822
28	0.6688116807
29	0.6681799082
30	0.667660053
31	0.6669778677
32	0.6662064772
33	0.665125392
34	0.6644379249
35	0.6637510446
36	0.6628401536
37	0.6620675894
38	0.6609313965
39	0.6598660983
40	0.6592133742
41	0.658734483
42	0.6578579242
43	0.6571255024
44	0.6566987258
45	0.6561789879
46	0.6553449191
47	0.6545743502
48	0.6538812491
49	0.6534729591
50	0.6527841421
51	0.65215548
52	0.6515943087
53	0.6510290293
54	0.6505370507
55	0.6494000948
56	0.6485796415
57	0.6483204768
58	0.6476715675
59	0.6469277015
60	0.6458698566
61	0.6449964083
62	0.644248669
63	0.643960806
64	0.6427108765
65	0.6419732314
66	0.6413485014
67	0.6409525945
68	0.6400405884
69	0.6395245479
70	0.6391886784
71	0.638683143
72	0.637784283
73	0.637357389
74	0.6368096572
75	0.6363180307
76	0.635599107
77	0.6354663555
78	0.6346087529
79	0.6340902475
80	0.6333567106
81	0.6327208886
82	0.6322036743
83	0.6317793039
84	0.6317320604
85	0.6309841449
86	0.6305353018
87	0.6298437852
88	0.6290777353
89	0.6287371709
90	0.6283689059
91	0.627950639
92	0.6274069566
93	0.6268452571
94	0.6262829707
95	0.6252455491
96	0.624452855
97	0.6240307148
98	0.623455165
99	0.6227651156
100	0.6220235384
101	0.6217640803
102	0.6210503798
103	0.6203924326
104	0.6199001606
105	0.6194960374
106	0.6188987145
107	0.6183189979
108	0.6180853037
109	0.6176156264
110	0.6168399517
111	0.6161190326
112	0.6154554514
113	0.6148979774
114	0.6142062847
115	0.61357774
116	0.613076078
117	0.6126685509
118	0.6119225135
119	0.6110802284
120	0.6106818566
121	0.6101467426
122	0.6097318209
123	0.6094251193
124	0.6087490375
125	0.6083437406
126	0.6078862117
127	0.6069452139
128	0.6062443073
129	0.6058805612
130	0.6051166241
131	0.6046499986
132	0.6043904818
133	0.603901555
134	0.6028579712
135	0.60211434
136	0.6017127404
137	0.6010216346
138	0.6004199101
139	0.5997163039
140	0.5989490216
141	0.59837981
142	0.5974786612
143	0.5969924927
144	0.5964465802
145	0.5955664415
146	0.594951571
147	0.5943418063
148	0.5936291034
149	0.5928146362
150	0.5923089834
151	0.5917485751
152	0.591488178
153	0.5907898536
154	0.5904382559
155	0.5899204548
156	0.5892688458
157	0.588999176
158	0.5886079055
159	0.5877776513
160	0.5871515127
161	0.5865501404
162	0.5860525278
163	0.5856398362
164	0.5851455688
165	0.5846442589
166	0.5840936514
167	0.5837524414
168	0.5835035471
169	0.5830710191
170	0.5825439453
171	0.5821039053
172	0.5817125174
173	0.5814251826
174	0.5810272217
175	0.5806455759
176	0.579916734
177	0.5794528668
